1385826858  	10
183674422  	5
246170316  	4
2728167154  	5
2733529842  	5
2787825314  	8
2924881490  	7
3434275328  	3
3597296374  	4
3870436010  	9
3937164800  	5
3939650790  	5
3941730962  	8
3998370816  	4
584453702  	4



--------------- NOT PART OF OUTPUT -------------------
--------------- ONLY USE AS REFERENCE ----------------
Input  		Mirror  	Count
1414551882  	1385826858  	10
1818578768  	183674422  	5
859977072  	246170316  	4
1331771717  	2728167154  	5
1331328837  	2733529842  	5
1164661861  	2787825314  	8
1248094837  	2924881490  	7
4672819  	3434275328  	3
1866880619  	3597296374  	4
1431588199  	3870436010  	9
8009047  	3937164800  	5
1731349335  	3939650790  	5
1229999959  	3941730962  	8
3295863  	3998370816  	4
1651534660  	584453702  	4
